Number,State,State_Code,Organization_Name,Type,Email,Phone,Website,Address,City,Zip_Code,Description
231,Georgia,GA,PAWS Atlanta,Rescue,info@pawsatlanta.org,(770) 593-1155,https://www.pawsatlanta.org,5287 Covington Highway,Decatur,30035,The oldest no-kill shelter in Georgia with mission to build a community of caring by people helping pets and pets helping people.
232,Georgia,GA,Angels Among Us Pet Rescue,Rescue,info@angelsrescue.org,(877) 404-5874,https://angelsrescue.org,,Atlanta,30309,"501(c)(3) nonprofit volunteer-based organization that has rescued 23,000+ animals since 2009. Operates through a network of foster homes in north metro Atlanta area."
233,Georgia,GA,Good Mews Animal Foundation,Rescue,info@goodmews.org,(770) 499-1227,https://www.goodmews.org,3805 Robinson Road NE,Marietta,30068,"One of the few virtually cage-free, no-kill cat shelters in Georgia and the first in metro Atlanta. 2024 Best of Cobb Cat Adoption Center and low-cost spay/neuter clinic."
234,Georgia,GA,Humane Society of Cobb County,Humane Society,info@humanecobb.com,(770) 428-5678,https://humanecobb.com,148 S Fairground Street SE,Marietta,30060,Independent 501(c)(3) no-kill shelter providing assistance to animals and pet owners in Cobb County. Recently partnered with Atlanta Humane Society family.
235,Georgia,GA,Cobb County Animal Services,Animal Control,animalservices@cobbcounty.gov,(770) 499-4136,https://www.cobbcounty.gov/animal-services,1060 Al Bishop Drive,Marietta,30008,"Cobb County government animal services enforcing state laws and county ordinances, providing housing and care for homeless animals."
236,Georgia,GA,Mostly Mutts Animal Rescue,Rescue,info@mostlymutts.org,(770) 272-2177,https://www.mostlymutts.org,2580 Calvary Church Road,Kennesaw,30152,Voted Best Animal Rescue by Cobb County residents. 2025 grantee of The Grey Muzzle Organization supporting lifesaving efforts for senior dogs.
237,Georgia,GA,Gwinnett County Animal Welfare and Enforcement,Animal Control,animalfoster@gwinnettcounty.com,(770) 339-3200,https://www.gwinnettcounty.com/departments/communityservices/animalwelfareenforcement/animalshelter,884 Winder Highway,Lawrenceville,30045,"Bill Atkinson Animal Welfare Center is an open-admissions shelter accepting lost, stray, or surrendered animals, striving to find adoptive families and foster homes."
238,Georgia,GA,Clayton County Humane Society & SPCA,Humane Society,info@claytoncountyhumane.org,(770) 471-9436,https://www.claytoncountyhumane.org,7810 N McDonough Street,Jonesboro,30236,"No-kill animal rescue facility operating in southern metro-Atlanta. 501(c)(3) organization providing shelter, medical care, and sterilization prior to adoption."
239,Georgia,GA,Cherokee County Animal Shelter,Animal Control,animalshelter@cherokeega.com,(770) 345-7270,https://www.cherokeecountyga.gov/animal-shelter/,1015 Univeter Road,Canton,30115,"Committed to providing superior service to animals and citizens through shelter work, education, and outreach programs to reduce homeless animals."
240,Georgia,GA,Humane Society for Greater Savannah,Humane Society,info@humanesocietysav.org,(912) 354-9515,https://www.humanesocietysav.org,7215 Sallie Mood Drive,Savannah,31406,Savannah's primary humane society providing adoption services and animal welfare programs for the greater Savannah area.
241,Georgia,GA,Coastal Pet Rescue,Rescue,info@coastalpetrescue.org,(912) 228-3538,https://www.coastalpetrescue.org,7430 Thomas Avenue,Savannah,31406,Animal rescue organization serving the coastal Georgia region with adoption and rescue services.
242,Georgia,GA,Renegade Paws Rescue,Rescue,info@renegadepawsrescue.org,(912) 570-5032,https://renegadepawsrescue.org,,Savannah,31401,Savannah-area animal rescue focused on saving and rehoming pets in the coastal Georgia region.
243,Georgia,GA,Augusta Animal Services,Animal Control,animalservices@augustaga.gov,(706) 790-6836,https://www.augustaga.gov/586/Animal-Services,4164 Mack Lane,Augusta,30906,"Enforces state laws and local ordinances pertaining to animal care and control, providing humane solutions through return to owner, adoption, rescue, and foster efforts."
244,Georgia,GA,PAWS Humane,Humane Society,adoptions@pawshumane.org,(706) 565-0035,https://pawshumane.org,4900 Milgen Road,Columbus,31907,Columbus area humane society providing adoption services and animal welfare programs for the Chattahoochee Valley region.
245,Georgia,GA,Heart of Georgia Humane Society,Humane Society,info@heartofgahumane.org,(478) 477-7060,https://heartofgahumane.org,,Macon,31201,Non-profit 501(c)(3) rescuing death row animals from Macon Animal Control and Baldwin County Animal Control with goal to eliminate euthanasia through spay/neuter.
246,Georgia,GA,All About Animals Rescue,Rescue,info@allaboutanimalsrescue.com,(478) 621-2287,https://allaboutanimalsrescue.com,,Macon,31210,No-kill animal shelter in Macon that gives dogs and cats a home until permanent homes can be found.
247,Georgia,GA,Athens Area Humane Society,Humane Society,info@athenshumanesociety.org,(706) 425-0905,https://athenshumanesociety.org,400 Huntington Road,Athens,30606,"Rescues and protects companion animals by providing for their wellbeing, uniting them with loving homes, and advocating for a compassionate society. Operates adoption center and spay/neuter clinic."
248,Georgia,GA,Fayette County Humane Society,Humane Society,info@fayettehumane.org,(770) 487-1073,https://fayettehumane.org,164 Robinson Road,Tyrone,30290,"501(c)(3) animal rescue organization offering dog, cat, kitten, and puppy foster, adoption, and TNVR services in Fayette County."
249,Georgia,GA,Royal Animal Refuge,Rescue,info@royalanimalrefuge.org,,https://royalanimalrefuge.org,,Tyrone,30290,"Promotes animal welfare and responsible pet ownership, finding homes for unwanted pets and providing humane care. Launched Royal Canine & Co. pet store with proceeds supporting rescue work."
250,Georgia,GA,Georgia Humane Society,Humane Society,info@georgiahumane.org,,https://georgiahumane.org,,Atlanta,30309,Statewide organization dedicated to eliminating the killing of healthy animals by implementing and promoting the no-kill equation throughout Georgia.
251,Hawaii,HI,Hawaiian Humane Society,Humane Society,info@hawaiianhumane.org,(808) 356-2200,https://www.hawaiianhumane.org,2700 Waialae Avenue,Honolulu,96826,Promotes human-animal bond and humane treatment of all animals. Operates Moiliili Campus and Kosasa Family Campus at Hoopili. Offers spay/neuter services and animal home programs.
252,Hawaii,HI,Oahu SPCA,Spca,info@oahuspca.org,(808) 797-0205,https://oahuspca.org,45-115 Waikalua Road,Kaneohe,96744,"Founded in 2008, dedicated to rescuing Oahu's homeless pets. Rescues, rehabilitates, and rehomes 15+ dogs and cats weekly, caring for approximately 45 dogs and 75 cats daily."
253,Hawaii,HI,Hawaii SPCA,Spca,info@thehawaiispca.org,(808) 792-6740,https://www.thehawaiispca.org,,Waianae,96792,"Legitimate 501(c)(3) nonprofit animal charity granted status in 2014. Born out of compassion for animals in need on Oahu, serving the Waianae community."
254,Hawaii,HI,Poi Dogs & Popoki,Rescue,adoptions@poidogsandpopoki.org,(808) 551-7915,https://poidogsandpopoki.org,,Honolulu,96816,"Volunteer-run foster-based rescue for 16 years, one of the most respected on Oahu. Finds homes for 700-800 cats yearly and performs TNR for 4,000 outdoor cats annually. Name means mixed-breed dogs and cats in Hawaiian."
255,Hawaii,HI,Hawaii Island Humane Society - Keaau,Humane Society,info@hihs.org,(808) 966-5458,https://www.hihs.org,16-873 Keaau-Pahoa Road,Keaau,96749,"Established 1965, nonprofit animal welfare organization serving Hawaii Island. Mission to prevent cruelty, eliminate pet overpopulation, and enhance human-animal bond. Began providing county animal control services in the 1970s."
256,Hawaii,HI,Hawaii Island Humane Society - Kona,Humane Society,info@hihs.org,(808) 329-8002,https://www.hihs.org,73-4598 Mamalahoa Highway,Kailua-Kona,96740,Kona Animal Community Center serving West Hawaii. Expanded to include Waimea and Kailua-Kona services in 1990 at county request.
257,Hawaii,HI,Maui Humane Society,Humane Society,info@mauihumanesociety.org,(808) 877-3680,https://www.mauihumanesociety.org,1350 Mahalani Street,Wailuku,96793,"Maui's primary animal welfare organization providing shelter services, adoptions, and community programs including kitten foster program."
258,Hawaii,HI,Kauai Humane Society,Humane Society,info@kauaihumane.org,(808) 632-0610,https://kauaihumane.org,3-825 Kaumualii Highway,Lihue,96766,"Serving Kauai as the only open-intake animal shelter since 1952. Local independent 501(c)(3) caring for 200-220 animals at Puhi shelter. Performed nearly 3,000 surgeries in 2024."
259,Hawaii,HI,Kauai SPCA,Spca,info@kauaispca.org,,https://www.kauaispca.org,,Lihue,96766,"No-kill, foster and volunteer based animal rescue on the island of Kauai."
260,Hawaii,HI,Kauai Animal Welfare Society (KAWS),Rescue,info@kawsanimals.org,,https://www.kawsanimals.org,,Lihue,96766,Dog and cat rescue and sanctuary on Kauai. Volunteers assist residents in helping homeless pets. Building Kauai Cat Haven sanctuary to house hundreds of cats.
261,Hawaii,HI,KARES - Kohala Animal Relocation and Education Services,Rescue,info@kareshawaii.org,(808) 333-4774,https://www.kareshawaii.org,,Kohala,96755,"Dedicated to rescue of abandoned, abused and stray animals on the Big Island of Hawaii. Rehabilitates and finds foster or adoption homes."
262,Hawaii,HI,Popoki Place Oahu Cat Sanctuary,Sanctuary,info@popokiplace.org,,https://popokiplace.org,,Honolulu,96826,Cat sanctuary on Oahu dedicated to providing care for homeless and special needs cats.
263,Hawaii,HI,Pure Love Animal Sanctuary,Sanctuary,info@purelovesanctuary.org,,,,Waimanalo,96795,"No-kill refuge in Waimanalo dedicated to nurturing injured animals and providing them a peaceful, loving home."
264,Hawaii,HI,Fur-Angel Foundation,Rescue,info@furangel.org,,,,Honolulu,96816,Animal welfare organization serving the Honolulu area with rescue and adoption services.
265,Hawaii,HI,Hawai'i Dog Foundation,Rescue,info@hawaiidogfoundation.org,,,,Honolulu,96816,No-kill dog rescue organization serving the state of Hawaii.
266,Iowa,IA,Animal Rescue League of Iowa,Rescue,info@arl-iowa.org,(515) 262-9503,https://arl-iowa.org,5452 NE 22nd Street,Des Moines,50313,"Iowa's largest nonprofit animal shelter since 1926, helping more than 1 million pets. Ranked in top ten for Most Influential Nonprofit by Business Record. Programs include adoption, education, training, spay/neuter, and cruelty intervention."
267,Iowa,IA,Furry Friends Refuge,Rescue,info@furryfriendsrefuge.org,(515) 223-0609,https://furryfriendsrefuge.org,3800 SE Convenience Boulevard,West Des Moines,50023,"Assists all area animals in need through adoptions, spay/neuter, community outreach, and humane education. Partners with WestPet Animal Control for West Des Moines, Clive, and Urbandale."
268,Iowa,IA,Cedar Valley Humane Society,Humane Society,info@cvhumane.org,(319) 362-6288,https://www.cvhumane.org,7411 Mount Vernon Road SE,Cedar Rapids,52403,"501(c)(3) nonprofit helping over 2,000 animals every year find their forever homes."
269,Iowa,IA,Humane Society of Scott County,Humane Society,info@hssc.us,(563) 388-6655,https://hssc.us,2532 Mississippi Boulevard,Bettendorf,52722,"Nonprofit open admission animal shelter serving Scott County including Davenport, Bettendorf, and Quad Cities area. Open daily 8am-5pm including weekends."
270,Iowa,IA,Siouxland Humane Society,Humane Society,info@siouxlandhumanesociety.org,(712) 252-2614,https://siouxlandhumanesociety.org,1015 Tri-View Avenue,Sioux City,51103,"Siouxland's only open admission full service shelter, caring for thousands of pets each year. Finds forever homes for 100% of adoptable pets."
271,Iowa,IA,Noah's Hope Animal Rescue,Rescue,info@noahshopeanimalrescue.com,,https://www.noahshopeanimalrescue.com,,Sioux City,51104,"Rescues, rehabilitates, and finds loving homes for abandoned and neglected animals in the Sioux City area."
272,Iowa,IA,Iowa City Animal Services,Animal Control,info@icanimalcenter.org,(319) 356-5295,https://icanimalcenter.org,3910 Napoleon Street SE,Iowa City,52240,"Open for walk-in business including licensing, animal permits, and dog park passes. Provides animal adoption services."
273,Iowa,IA,Humane Society of Northwest Iowa,Humane Society,info@humanesocietyofnwia.com,(712) 338-4597,https://www.humanesocietyofnwia.com,20823 Highway 71,Spencer,51301,"Nonprofit animal shelter serving Dickinson, Clay, Emmet, Palo Alto, O'Brien and Osceola counties. Promotes ethical and humane treatment of all animals."
274,Iowa,IA,Humane Society of Northeast Iowa,Humane Society,info@hsnei.org,(563) 382-9131,https://www.hsnei.org,2107 Business Highway 9,Decorah,52101,Humane society serving Northeast Iowa with animal welfare services and adoption programs.
275,Iowa,IA,Midlands Humane Society,Humane Society,info@midlandshumanesociety.org,(712) 396-2270,https://midlandshumanesociety.org,1020 Railroad Avenue,Council Bluffs,51503,"First humane society in Council Bluffs, opened 2015. Comprehensive animal welfare center with 200+ animals in care daily. Supports Pottawattamie County."
276,Iowa,IA,Dubuque Regional Humane Society,Humane Society,info@dbqhumane.org,(563) 582-6766,https://www.dbqhumane.org,4242 Chavenelle Road,Dubuque,52002,"Protects and promotes animal well-being by fostering respect for their dignity. Offers lost & found, Hadley's Dog Park, Vets Need Pets program."
277,Iowa,IA,S.A.I.N.T. Cat Rescue & Adoption,Rescue,info@saintcatrescue.org,,https://saintcatrescue.org,,Cedar Rapids,52402,No-Kill Verified cat rescue organization serving the Cedar Rapids area.
278,Iowa,IA,Gems Forever Animal Rescue,Rescue,info@gemsforeveranimalrescue.org,,,,Cedar Rapids,52401,Animal rescue organization founded in 2016 serving the Cedar Rapids area.
279,Iowa,IA,Pottawattamie County Animal Shelter,Animal Control,animalshelter@pottcounty.com,(712) 890-2525,,,Council Bluffs,51501,"County animal shelter. Adoption fee $120 includes spay/neuter, microchip, all vaccinations, deworming, and heartworm test."
280,Iowa,IA,It Takes A Village Animal Rescue,Rescue,info@ittakesavillage.org,(515) 279-4452,https://ittakesavillage.org,4221 Hubbell Avenue,Des Moines,50317,Animal rescue organization serving the Des Moines metro area with adoption and rescue services.
281,Iowa,IA,AHeinz57 Pet Rescue & Transport,Rescue,info@aheinz57.com,(515) 961-6227,https://aheinz57.com,400 N 5th Street,Indianola,50125,Nonprofit pet rescue and transport organization serving central Iowa.
282,Iowa,IA,Black Hawk Humane Society,Humane Society,info@bhhumane.org,(319) 232-6887,https://bhhumane.org,2590 William Loop,Waterloo,50702,Humane society serving the Waterloo and Cedar Falls area with animal welfare services.
283,Iowa,IA,Story County Animal Shelter,Animal Control,animals@storycountyiowa.gov,(515) 382-5495,https://www.storycountyiowa.gov/161/Animal-Shelter,1228 N Dayton Avenue,Ames,50010,Story County animal shelter serving the Ames area with animal control and adoption services.
284,Iowa,IA,Raccoon Valley Animal Sanctuary & Rescue,Sanctuary,info@raccoonvalleyanimals.org,,https://raccoonvalleyanimals.org,,Dallas Center,50063,Animal sanctuary and rescue serving the Des Moines metro area.
285,Iowa,IA,Linn County Animal Services,Animal Control,animalservices@linncountyiowa.gov,(319) 892-6400,https://www.linncountyiowa.gov/1045/Animal-Services,5201 1st Street SW,Cedar Rapids,52404,Linn County animal services providing animal control and shelter services for Cedar Rapids and surrounding area.
286,Idaho,ID,Idaho Humane Society,Humane Society,info@idahohumanesociety.org,(208) 342-3508,https://idahohumanesociety.org,4775 W Dorman Street,Boise,83705,"Advocates for welfare and responsible care of animals, protects from neglect and cruelty. Provides animal care and control for Boise, Eagle, Kuna, Meridian, and unincorporated Ada County."
287,Idaho,ID,West Valley Humane Society,Humane Society,info@westvalleyhumanesociety.org,(208) 455-5920,https://www.westvalleyhumanesociety.org,5801 Graye Lane,Caldwell,83607,"501(c)(3) serving Canyon County with holistic services including temporary housing, medical care, food support, enrichment, and behavioral modification."
288,Idaho,ID,Meridian Valley Humane Society,Humane Society,info@meridianvalleyhumanesociety.org,,https://www.meridianvalleyhumanesociety.org,,Meridian,83642,Provides community service and personalized care for canines housed at MVHS Canine Rescue.
289,Idaho,ID,Snake River Animal Shelter,Shelter,info@snakeriveranimalshelter.org,(208) 788-4351,https://www.snakeriveranimalshelter.org,500 East Avenue South,Hailey,83333,No-kill nonprofit animal shelter and rescue. Mission to improve and save animal lives by promoting quality care and compassion through adoption and humane education.
290,Idaho,ID,Heart of Idaho Animal Sanctuary,Sanctuary,info@heartofid.org,(208) 520-6505,https://heartofid.org,,Idaho Falls,83402,"Rescues, rehabilitates, finds permanent homes for animals in need. Advocates for animal welfare, humane treatment, and population control. Offers permanent residence to animals."
291,Idaho,ID,Idaho Animal Rescue Network,Rescue,info@idahorescue.org,,https://www.idahorescue.org,,Boise,83702,"Founded 2019 to address critical gap in animal rescue. 501(c)(3) nonprofit offering foster-based care, veterinary support, and outreach. Recognized with Lewiston Police Department Merit Award."
292,Idaho,ID,Bannock Humane Society,Humane Society,bhs.idaho@gmail.com,(208) 232-0371,,,Pocatello,83201,Humane society serving the Pocatello area with companion animal adoption services.
293,Idaho,ID,A2A Rescue,Rescue,info@a2arescue.com,,https://a2arescue.com,,Pocatello,83201,501(c)(3) animal rescue focused on maintaining healthy animal population in Pocatello area. All animals placed in foster homes.
294,Idaho,ID,Bonneville Humane Society,Humane Society,info@bonnevillehumanesociety.org,(208) 522-3271,https://www.bonnevillehumanesociety.org,1925 N Skyline Drive,Idaho Falls,83402,"Rescuing and rehoming animals since 1973. Independent nonprofit funded by donations and on-site Thrift Store. Dedicated to rescue, rehabilitation, and responsible pet ownership."
295,Idaho,ID,Idaho Falls Animal Services,Animal Control,animals@idahofallsidaho.gov,(208) 612-8689,https://www.idahofallsidaho.gov/246/Animal-Services,3185 S Holmes Avenue,Idaho Falls,83402,"Provides top-notch services to City of Idaho Falls, assisting community with animal-related questions and solutions."
296,Idaho,ID,People for Pets - Twin Falls Animal Shelter,Shelter,info@people4pets.com,(208) 736-2299,https://people4pets.com,420 Victory Avenue,Twin Falls,83301,"Protects and cares for community's lost, abandoned, abused, and rescued domesticated animals. Staff and volunteers provide care while animals await forever homes."
297,Idaho,ID,Companions Animal Center,Humane Society,info@companionsanimalcenter.org,(208) 772-4019,https://www.companionsanimalcenter.org,6606 N Government Way,Coeur d'Alene,83815,"Formerly Kootenai Humane Society, saving lives of unwanted, abused, and neglected animals since 1979."
298,Idaho,ID,Better Together Animal Alliance,Nonprofit,helpline@BTAnimalAlliance.org,(208) 265-7297,https://bettertogetheranimalalliance.org,310 N 1st Avenue,Sandpoint,83864,"Enriches lives of dogs, cats, and people. Serves North Idaho's Bonner, Boundary, and Kootenai Counties with support, resources, and care."
299,Idaho,ID,Lewis Clark Animal Shelter,Shelter,info@lcshelter.org,(208) 746-6095,https://lcshelter.org,6 Shelter Road,Lewiston,83501,"Nonprofit connecting animals with loving families in Lewiston, Clarkston, and surrounding communities for decades. Provides medical care and rehabilitation."
300,Idaho,ID,Humane Society of the Palouse,Humane Society,info@humanesocietyofthepalouse.org,(208) 883-1166,https://www.humanesocietyofthepalouse.org,2019 White Avenue,Moscow,83843,"No-kill animal shelter founded in 1978. Mission to ensure humane treatment, welfare and safety of companion animals in Moscow and Latah County."
301,Idaho,ID,IDAWG - Idaho Domestic Animal Welfare Group,Rescue,info@idawg.org,,https://idawg.org,,Nampa,83651,"501(c)(3) nonprofit since June 2000, staffed entirely by volunteers. Rescues, fosters, and rehomes animals in Treasure Valley. Offers spay/neuter financial assistance to seniors."
302,Idaho,ID,Lake Lowell Animal Rescue,Rescue,info@lakelowellanimalrescue.org,,https://www.lakelowellanimalrescue.org,,Nampa,83651,"501(c)(3) nonprofit private animal rescue specializing in abandoned cats, dogs, and small domestic animals around Treasure Valley and Lake Lowell wildlife refuge."
303,Illinois,IL,PAWS Chicago,Rescue,info@pawschicago.org,(773) 935-7297,https://www.pawschicago.org,1997 N Clybourn Avenue,Chicago,60614,"National model in animal sheltering, committed to ending the killing of homeless cats and dogs. One of the largest no-kill shelters in the Midwest."
304,Illinois,IL,Anti-Cruelty Society,Humane Society,info@anticruelty.org,(312) 644-8338,https://anticruelty.org,157 W Grand Avenue,Chicago,60654,"Founded 1899, Chicago's oldest and largest private, open-admission, unlimited stay humane society. One of the largest in the US. Offers spay/neuter clinic, humane education, cruelty investigation."
305,Illinois,IL,Wright-Way Rescue,Rescue,info@wright-wayrescue.org,(847) 728-5434,https://wright-wayrescue.org,5915 Lincoln Avenue,Morton Grove,60053,"501(c)(3) nonprofit animal adoption center. In 2024, rescued 4,524 dogs and cats. Offers adoption and community education."
306,Illinois,IL,South Suburban Humane Society,Humane Society,info@southsuburbanhumane.org,(708) 755-7387,https://southsuburbanhumane.org,21800 Central Avenue,Matteson,60443,"Finding homes and providing resources for pets in Chicago's south suburbs for over 50 years. Includes adoption center, resource center, low-cost vet clinic, and spay/neuter clinic."
307,Illinois,IL,Chicago Animal Care and Control,Animal Control,cacc@cityofchicago.org,(312) 747-1406,https://www.chicago.gov/city/en/depts/cacc.html,2741 S Western Avenue,Chicago,60608,"Protects public safety and ensures humane care of animals through sheltering, pet placement, education and animal law enforcement for the City of Chicago."
308,Illinois,IL,Friends of Chicago Animal Care and Control,Nonprofit,info@friendsofcacc.org,,https://www.friendsofcacc.org,,Chicago,60608,"Nonprofit committed exclusively to helping save lives of over 19,000 animals that come into custody of Chicago Animal Care and Control each year."
309,Illinois,IL,A.R.F. - Animal Rescue Foundation,Rescue,info@arf-il.org,(630) 653-1519,https://www.arf-il.org,2310 S Main Street,Wheaton,60189,"501(c)(3) no-kill humane society with volunteers dedicated to rescuing, fostering, and rehoming dogs and cats."
310,Illinois,IL,One Tail at a Time,Rescue,info@onetail.org,(773) 234-6070,https://www.onetail.org,3017 N Rockwell Street,Chicago,60618,"Progressive dog, cat, rabbit, and guinea pig foster and adoption program supporting under-resourced animal shelters and pet families."
311,Illinois,IL,Community Animal Rescue Effort (C.A.R.E.),Rescue,info@carenorthshore.org,(847) 705-2653,https://www.carenorthshore.org,4927 Main Street,Skokie,60077,"Volunteer-driven nonprofit dedicated to rescuing, rehabilitating, and rehoming pets in need while reducing pet overpopulation."
312,Illinois,IL,Hinsdale Humane Society,Humane Society,info@hinsdalehumanesociety.org,(630) 323-5630,https://hinsdalehumanesociety.org,21 Salt Creek Lane,Hinsdale,60521,"Private nonprofit operating Tuthill Family Pet Rescue & Resource Center, providing innovative care and adoption for all animals including those harder to place."
313,Illinois,IL,Naperville Area Humane Society,Humane Society,info@napervillehumanesociety.org,(630) 420-8989,https://napervillehumane.org,1620 W Diehl Road,Naperville,60563,"501(c)(3) nonprofit limited admission animal shelter for dog and cat adoption, foster care, and owner surrenders serving western Chicago suburbs."
314,Illinois,IL,Animal Welfare League,Rescue,info@animalwelfareleague.com,(708) 636-8586,https://animalwelfareleague.com,10305 Southwest Highway,Chicago Ridge,60415,"Serves cats, dogs, rabbits and small pets in Chicago Ridge and surrounding southwest suburbs."
315,Illinois,IL,Illinois Humane,Humane Society,info@illinoishumane.org,(217) 546-1549,https://illinoishumane.org,2800 Mathers Road,Springfield,62702,501(c)(3) nonprofit providing medical and behavioral rehabilitation and placement for animals that are victims of human neglect and cruelty cases.
316,Illinois,IL,Animal Protective League,Shelter,info@apl-shelter.org,(217) 544-7387,https://www.apl-shelter.org,1001 Taintor Road,Springfield,62702,Animal shelter serving Springfield and the surrounding central Illinois area with adoption services.
317,Illinois,IL,Champaign County Humane Society,Humane Society,info@cuhumane.org,(217) 344-7297,https://www.cuhumane.org,1911 E Main Street,Urbana,61802,"Provides shelter, medical, and adoption services for animals, prevents animal cruelty, and offers education programs. Best Friends Animal Society partner."
318,Illinois,IL,Humane Society of Central Illinois,Humane Society,info@hscipets.org,(309) 664-7387,https://www.hscipets.org,423 N Kays Drive,Normal,61761,Cares for and provides adoption services for animals in Bloomington-Normal and surrounding central Illinois areas.
319,Illinois,IL,TAPS - Tazewell Animal Protective Society,Rescue,info@tapsshelter.org,(309) 346-6200,https://tapsshelter.org,100 Taps Lane,Pekin,61554,"No-kill animal shelter providing homes for dogs, cats, puppies, and kittens until permanent homes found. Serves central Illinois area near Peoria."
320,Illinois,IL,Peoria County Animal Protection Services,Animal Control,pcaps@peoriacounty.gov,(309) 672-2440,https://www.peoriacounty.gov/229/Animal-Protection-Services,2600 NE Perry Avenue,Peoria,61603,"Serves every municipality in Peoria County. Enforces animal control ordinances, maintains rabies records, operates open admission shelter."
321,Illinois,IL,Winnebago County Animal Services,Animal Control,animalservices@co.winnebago.il.us,(815) 319-4100,https://www.winnebagoanimalshelter.com,4517 N Main Street,Rockford,61103,"Community leader and credible resource for safety awareness through enforcement and education, fostering the human-animal bond."
322,Illinois,IL,Wish Bone Canine Rescue,Rescue,info@wishbonecaninerescue.org,,https://www.wishbonecaninerescue.org,,Bloomington,61701,"Not-for-profit, no-kill canine rescue in central Illinois. Rescues and rehomes over 750 dogs annually, provides low-cost vaccination and spay/neuter clinics."
323,Illinois,IL,West Suburban Humane Society,Humane Society,info@wshs-dg.org,(630) 960-9600,https://www.wshs-dg.org,1901 W Ogden Avenue,Downers Grove,60515,Serving DuPage County and western suburbs with animal shelter and adoption services.
324,Illinois,IL,Red Door Animal Shelter,Shelter,info@reddoorshelter.org,(773) 764-2242,https://reddoorshelter.org,2410 W Lunt Avenue,Chicago,60645,"No-kill shelter for cats, dogs, and rabbits in Chicago."
325,Illinois,IL,Tree House Animal Foundation,Rescue,info@treehouseanimal.org,(773) 784-5488,https://treehouseanimal.org,7225 N Western Avenue,Chicago,60645,Cat-only rescue and adoption organization serving Chicago with cageless sheltering approach.
326,Illinois,IL,DuPage County Animal Services,Animal Control,animalservices@dupageco.org,(630) 407-2800,https://www.dupageco.org/animalservices,120 County Farm Road,Wheaton,60187,DuPage County government animal services providing shelter and adoption services for the county.
327,Illinois,IL,Anderson Animal Shelter,Shelter,info@andersonanimalshelter.com,(847) 697-2880,https://andersonanimalshelter.com,1000 S La Fox Street,South Elgin,60177,One of Illinois' largest animal shelters serving the Fox Valley and greater Chicago area with adoption services.
328,Indiana,IN,IndyHumane,Humane Society,info@indyhumane.org,(317) 872-5650,https://indyhumane.org,7929 Michigan Road,Indianapolis,46268,"Serving Indianapolis since 1905. Leading voice for animal welfare, serves 18,000+ animals annually with 96% live release rate. First choice for shelter cats and dogs adoption, foster, behavior training, and affordable spay/neuter."
329,Indiana,IN,Humane Society for Hamilton County,Humane Society,info@hamiltonhumane.com,(317) 773-4974,https://www.hamiltonhumane.com,1721 Pleasant Street,Noblesville,46060,"The only open admission, truly no-kill animal shelter in Indiana. Believes every animal deserves a chance to live regardless of age, breed, or special needs."
330,Indiana,IN,Humane Indiana,Humane Society,info@humaneindiana.org,(219) 922-3811,https://www.humaneindiana.org,421 45th Avenue,Munster,46321,"Finds homes for cats and dogs and offers resources to help families keep pets healthy. Valparaiso center rescues, heals, and releases injured wildlife while educating about coexistence."
331,Indiana,IN,Humane Fort Wayne,Humane Society,info@humanefw.org,(260) 744-0454,https://humanefw.org,4914 S Hanna Street,Fort Wayne,46806,"No-kill, nonprofit shelter serving Northeast Indiana for more than 65 years. Hub for pets and people providing comprehensive, lifesaving resources and spay/neuter clinic."
332,Indiana,IN,Fort Wayne Animal Care and Control,Animal Control,animalcare@cityoffortwayne.org,(260) 427-1244,https://www.fortwayneanimalcare.com,3020 Hillegas Road,Fort Wayne,46808,"Best Friends Animal Society partner serving community in humane, public safety capacity. Keeps pets with loving families through education and resources."
333,Indiana,IN,Humane Society of St. Joseph County,Humane Society,info@humanesocietystjc.org,(574) 255-4726,https://humanesocietystjc.org,2506 Grape Road,Mishawaka,46545,"One of Indiana's oldest service organizations, incorporated in 1896. Operates as area's largest animal care facility with over 2,700 animals annually."
334,Indiana,IN,Vanderburgh Humane Society,Humane Society,info@vfrm.org,(812) 426-2563,https://vanderburghhumane.org,400 Millner Industrial Drive,Evansville,47710,Provides animal rescue with veterinary services and finds forever homes for homeless animals in Evansville and surrounding area.
335,Indiana,IN,Humane Society of the Dunes,Humane Society,info@humanesocietyofthedunes.com,(219) 395-8733,https://humanesocietyofthedunes.com,1950 S State Route 49,Chesterton,46304,"Dedicated to rescue of abused, abandoned, sick, and injured animals and their rehabilitation. Serves Northwest Indiana."
336,Indiana,IN,Brown County Humane Society,Humane Society,info@bchumane.org,(812) 988-7362,https://www.bchumane.org,128 State Road 135 South,Nashville,47448,"Nonprofit animal shelter offering pet adoption, volunteer opportunities, and spay/neuter services."
337,Indiana,IN,Bartholomew County Humane Society,Humane Society,info@bartholomewhumane.org,(812) 372-1068,https://www.bartholomewhumane.org,4415 E 200 South,Columbus,47201,"Serves entire county surrounding Columbus with adoptable dogs and cats, lost pet services, volunteering, and donations."
